start_tatum;bid_volume;bid_volatility
18587;1877423,607;1,78122205
18588;1659137,268;1,296087691
18589;1848473,562;2,215635164
18590;2415965,07;1,592605055
18591;5355400,647;1,721840025
18592;1563333,428;1,110920212
18593;1071622,188;2,162812404
18594;1463695,791;2,405935649
18595;597550,536;0,989041281
18596;1054676,117;1,345512323
18597;1932316,497;3,736494197
18598;5267766,015;2,733189005
18599;714155,5408;0,883161801
18600;1550606,814;1,914818249
18601;953093,3972;1,311347551
18602;1016937,284;1,72482232
18603;477551,5889;1,565790175
18604;7789451,024;3,459446144
18605;3977538,555;1,76072779
18606;1451858,675;2,333176065
18607;1348950,195;2,289495704
18608;5953079,542;3,691363187
18609;1700859,751;1,68730846
18610;906899,7132;1,302617805
18611;968526,3663;1,412875597
18612;1172694,47;2,34036627
18613;1835119,632;3,081474672
18614;898971,4028;1,411262854
18615;1686700,01;2,615005692
18616;1619496,58;1,884287201
18617;1198289,647;1,762374092
18618;623771,0622;1,496071396
18619;820600,2456;1,027249983
18620;522892,6205;1,143580573
18621;409450,6652;1,161141299
18622;7534648,798;2,227343694
18623;666000,615;0,988249501
18624;629733,3856;1,183935013
18625;667802,8398;1,973936919
18626;1078131,792;1,645379485
18627;572449,0906;1,44967537
18628;703623,1944;1,022431363
18629;1292025,622;1,698059925
18630;723013,1039;1,166727969
18631;600210,6765;0,853591359
18632;760042,0069;1,49844151
18633;474132,9403;0,877684999
18634;647771,3512;1,287902608
18635;616293,2405;1,478366814
18636;587584,1707;1,360678517
18637;537799,9524;1,227935959
18638;983500,2913;2,19023128
18639;1550326,462;3,096223056
18640;6149295,1;1,767165997
18641;1070210,862;1,140226059
18642;663571,0663;1,430710624
18643;840107,2661;1,447451327
18644;6884868,549;2,456302194
18645;1521176,302;1,445224088
18646;844235,0274;1,227335693
18647;640883,4147;0,920508133
18648;785579,612;1,57182581
18649;860646,886;1,396332566
18650;405964,0916;0,75638486
18651;730385,2298;2,979609513
18652;6850845,394;3,142286389
18653;1621064,81;1,559375179
18654;1847515,99;1,731565882
18655;688134,248;0,843325178
18656;720259,2399;1,398255397
18657;886509,0383;2,083025546
18658;877297,3979;1,387274341
18659;1,04E+07;2,762983239
18660;4297339,472;3,498236886
18661;576257,7656;1,186465947
18662;1015772,024;1,640576703
18663;635912,0277;0,968881354
18664;7358216,082;3,529714677
18665;2032397,253;1,385957199
18666;1862451,148;2,374459279
18667;1426631,11;2,297894274
18668;6985117,963;2,176520251
18669;8652099,595;2,570308284
18670;1660272,56;0,995954718
18671;1546650,957;1,851258603
18672;494786,3889;1,258470491
18673;753071,8625;1,558353345
18674;3443550,423;2,603560644
18675;5433189,467;2,756684618
18676;3572590,292;1,761351817
18677;1602964,902;1,399587452
18678;1499564,266;1,778899894
18679;1910230,818;3,365579205
18680;528543,3374;1,513555475
18681;1210373,731;2,864093208
18682;706569,849;1,587110772
18683;448951,6213;1,006022703
18684;518209,6838;1,408934154
18685;432323,9303;1,084633918
18686;501525,3851;0,977187668
18687;402679,5712;0,976142511
18688;390524,4021;0,845260138
18689;649144,46;1,69179174
18690;1068243,99;1,766582464
18691;528907,5393;1,311176191
18692;540043,2141;1,05220259
18693;583398,5275;1,136871828
18694;769689,1113;1,126465566
18695;621421,7688;1,200480186
18696;3823009,28;1,793569198
18697;1544424,212;2,505466358
18698;600991,5893;1,174063997
18699;1063634,062;1,272296842
18700;1931352,218;2,289284872
18701;694538,7239;1,142819071
18702;441484,9442;1,162012457
18703;600170,2114;1,37882615
18704;480985,5964;0,890758658
18705;570649,4551;1,269760687
18706;1115319,085;1,921729332
18707;471228,3683;1,544388729
18708;677681,4512;1,650786299
18709;556276,3903;1,481476488
18710;766682,3882;1,919140432
18711;1653789,452;2,302938795
18712;1,00E+07;2,540797067
18713;8600220,728;3,580751121
18714;1299146,708;1,135712529
18715;828439,8529;1,296586239
18716;5719305,967;1,886629952
18717;4575066,495;2,294619442
18718;1717060,253;1,314710301
18719;839646,3516;0,852698304
18720;1386575,458;1,612616784
18721;691379,0248;0,784377293
18722;1013760,198;1,229204993
18723;3209356,109;1,846134971
18724;1515076,151;0,80920332
18725;1493526,607;2,041663335
18726;2209971,322;2,744566803
18727;1,00E+07;1,608728602
18728;5789513,804;2,461806682
18729;2607302,328;1,589893031
18730;2515474,791;2,271169258
18731;1707752,359;2,48669825
18732;9748380,996;1,910086564
18733;4549153,404;2,41691562
18734;1193226,81;1,516810204
18735;1477669,846;1,628941514
18736;6386138,648;3,652301958
18737;937243,5988;1,43666341
18738;826800,943;1,86642359
18739;1633207,445;1,222860971
18740;1028993,901;1,676447871
18741;1417065,028;1,693518814
18742;8120914,779;1,794790156
18743;2908615,385;1,444010336
18744;1646637,322;1,860117596
18745;2085997,051;2,384992416
18746;4389565,864;3,257338323
18747;1512109,526;2,227243626
18748;1461248,624;1,801128312
18749;1620218,438;2,812306437
18750;1017259,113;1,530362387
18751;9252794,522;2,565753717
18752;1840237,754;2,250403629
18753;1565958,239;1,6174796
18754;1949699,812;1,573485722
18755;2934419,521;1,836160654
18756;2064995,034;1,480458395
18757;2391681,207;2,751421293
18758;3315585,191;1,471149889
18759;2115013,058;1,511811296
